order_id,customer_id,order_date,status,region_code
1,473,2025-04-21 00:23:32,PLACED,EAST
2,425,2025-11-01 06:41:42,DELIVERED,EAST
3,296,2024-11-27 08:31:08,DELIVERED,NORTH
4,339,2024-12-25 00:00:00,DELIVERED,NORTH
5,438,2024-12-28 19:32:11,CANCELLED,WEST
6,143,2025-06-18 04:10:50,DELIVERED,EAST
7,84,2025-04-14 12:40:24,DELIVERED,EAST
8,360,2026-06-28 12:30:25,DELIVERED,NORTH
9,312,2025-11-06 04:51:11,SHIPPED,SOUTH
10,84,2025-06-25 01:09:17,DELIVERED,CENTRAL
11,113,2025-12-14 18:08:04,SHIPPED,NORTH
12,118,2026-03-31 07:30:38,PLACED,EAST
13,UNKNOWN,2025-05-08 14:15:13,SHIPPED,SOUTH
14,UNKNOWN,2026-06-10 06:05:27,RETURNED,EAST
15,109,2025-11-22 02:15:44,DELIVERED,WEST
16,UNKNOWN,2024-10-19 23:19:10,SHIPPED,SOUTH
17,UNKNOWN,2026-01-30 15:36:04,DELIVERED,EAST
18,383,2025-09-28 01:28:21,DELIVERED,CENTRAL
19,205,2025-04-08 04:06:10,SHIPPED,SOUTH
20,261,2025-07-19 07:48:07,PLACED,NORTH
21,441,2024-09-24 04:00:28,SHIPPED,SOUTH
22,406,2025-12-11 13:05:21,DELIVERED,NORTH
23,198,2025-04-23 00:00:00,DELIVERED,WEST
24,271,2025-01-12 06:41:55,RETURNED,NORTH
25,349,2026-01-11 19:13:42,PLACED,CENTRAL
26,385,2025-01-24 05:58:55,DELIVERED,EAST
27,58,2025-02-13 23:14:20,DELIVERED,WEST
28,2,2026-01-12 20:46:17,CANCELLED,EAST
29,498,2025-07-24 19:36:05,DELIVERED,CENTRAL
30,468,2024-09-21 15:38:29,CANCELLED,EAST
31,431,2025-11-09 06:52:54,DELIVERED,SOUTH
32,79,2025-04-17 10:15:33,DELIVERED,CENTRAL
33,489,2026-02-25 18:38:58,RETURNED,NORTH
34,307,2025-03-09 18:42:24,DELIVERED,NORTH
35,476,2025-04-08 22:27:06,CANCELLED,EAST
36,123,2024-08-14 23:48:12,SHIPPED,CENTRAL
37,485,2024-08-31 04:08:16,PLACED,WEST
38,418,2024-08-23 18:12:53,RETURNED,CENTRAL
39,393,2024-10-06 16:20:45,PLACED,WEST
40,485,2025-09-01 01:04:54,SHIPPED,CENTRAL
41,447,2025-10-15 03:43:48,DELIVERED,SOUTH
42,476,2025-08-23 21:12:27,DELIVERED,SOUTH
43,366,2025-02-28 02:48:46,DELIVERED,EAST
44,225,2026-05-30 18:01:19,DELIVERED,NORTH
45,UNKNOWN,2025-01-09 13:17:44,SHIPPED,EAST
46,11,2025-09-30 22:52:09,DELIVERED,CENTRAL
47,113,2024-07-06 14:02:49,PLACED,NORTH
48,UNKNOWN,2024-12-25 00:00:00,PLACED,NORTH
49,441,2025-03-14 15:38:00,PLACED,SOUTH
50,143,2025-12-02 00:00:00,DELIVERED,CENTRAL
51,68,2026-01-13 20:16:08,RETURNED,CENTRAL
52,296,2025-07-03 03:13:35,SHIPPED,WEST
53,UNKNOWN,2026-03-20 00:00:00,DELIVERED,NORTH
54,50,2025-11-24 20:19:43,DELIVERED,WEST
55,211,2025-06-28 17:58:14,CANCELLED,NORTH
56,345,2025-11-20 13:17:35,RETURNED,NORTH
57,32,2025-05-09 17:24:16,DELIVERED,NORTH
58,UNKNOWN,2025-01-10 03:17:24,SHIPPED,CENTRAL
59,230,2024-10-17 21:11:14,DELIVERED,EAST
60,237,2025-01-11 00:43:46,CANCELLED,NORTH
61,227,2026-03-20 14:37:34,CANCELLED,CENTRAL
62,51,2024-08-09 07:02:05,DELIVERED,CENTRAL
63,429,2024-07-12 11:06:22,RETURNED,SOUTH
64,86,2025-05-12 00:00:00,DELIVERED,SOUTH
65,443,2025-05-08 11:55:58,RETURNED,SOUTH
66,195,2024-07-02 16:10:44,RETURNED,EAST
67,475,2026-03-02 00:08:07,DELIVERED,EAST
68,217,2025-12-24 01:24:24,RETURNED,CENTRAL
69,339,2026-01-10 00:06:03,DELIVERED,SOUTH
70,152,2024-12-17 02:14:19,RETURNED,CENTRAL
71,377,2025-08-26 03:15:04,PLACED,EAST
72,UNKNOWN,2024-08-14 09:38:16,PLACED,WEST
73,258,2026-06-15 02:37:05,CANCELLED,SOUTH
74,30,2025-07-30 10:36:33,PLACED,SOUTH
75,36,2025-10-06 04:15:30,PLACED,SOUTH
76,207,2024-10-02 02:50:54,RETURNED,CENTRAL
77,127,2025-09-23 15:50:00,DELIVERED,CENTRAL
78,42,2025-05-22 14:55:07,DELIVERED,CENTRAL
79,268,2025-03-03 17:33:40,RETURNED,SOUTH
80,343,2026-01-08 00:00:00,SHIPPED,EAST
81,203,2024-10-10 15:44:52,DELIVERED,EAST
82,235,2025-03-03 00:00:00,RETURNED,NORTH
83,5,2025-06-21 23:03:40,DELIVERED,CENTRAL
84,52,2024-08-26 21:40:43,DELIVERED,CENTRAL
85,136,2024-10-11 21:10:09,RETURNED,NORTH
86,451,2025-01-06 17:47:29,DELIVERED,SOUTH
87,225,2026-04-09 14:07:56,DELIVERED,EAST
88,314,2026-03-19 21:26:00,DELIVERED,NORTH
89,342,2026-03-27 15:55:30,DELIVERED,NORTH
90,481,2026-05-14 01:28:23,PLACED,NORTH
91,456,2024-09-22 03:17:42,DELIVERED,SOUTH
92,140,2025-02-04 20:19:03,DELIVERED,EAST
93,105,2025-12-16 23:52:31,DELIVERED,EAST
94,259,2025-07-15 10:53:37,SHIPPED,NORTH
95,48,2025-11-05 15:55:08,DELIVERED,EAST
96,23,2024-07-03 18:05:47,SHIPPED,SOUTH
97,327,2025-01-20 11:12:00,SHIPPED,WEST
98,283,2025-12-31 02:35:40,DELIVERED,NORTH
99,58,2024-08-28 10:38:49,RETURNED,SOUTH
100,280,2024-07-28 23:36:47,CANCELLED,CENTRAL
101,283,2024-10-24 00:40:05,DELIVERED,NORTH
102,158,2025-04-10 00:00:00,CANCELLED,NORTH
103,461,2025-04-04 22:02:51,SHIPPED,SOUTH
104,342,2024-09-18 20:12:43,DELIVERED,CENTRAL
105,453,2026-05-11 09:49:37,DELIVERED,CENTRAL
106,384,2024-10-29 01:04:58,RETURNED,SOUTH
107,443,2024-11-04 05:15:08,RETURNED,SOUTH
108,452,2025-05-17 05:43:29,PLACED,EAST
109,401,2026-06-23 23:39:56,DELIVERED,SOUTH
110,137,2024-11-01 15:39:46,DELIVERED,NORTH
111,196,2026-05-09 00:00:00,PLACED,WEST
112,UNKNOWN,2024-12-20 18:27:54,SHIPPED,WEST
113,180,2025-02-23 00:00:00,CANCELLED,SOUTH
114,115,2024-07-19 09:08:13,DELIVERED,WEST
115,UNKNOWN,2025-03-12 23:14:46,SHIPPED,NORTH
116,496,2026-02-21 15:51:12,SHIPPED,CENTRAL
117,205,2025-12-10 19:08:08,RETURNED,CENTRAL
118,170,2026-06-30 12:38:57,PLACED,EAST
119,92,2025-09-24 22:58:37,RETURNED,EAST
120,UNKNOWN,2024-07-30 17:09:57,PLACED,WEST
121,177,2026-01-17 21:03:51,DELIVERED,WEST
122,311,2025-08-02 05:37:00,PLACED,CENTRAL
123,98,2025-01-14 20:22:18,PLACED,WEST
124,1,2025-08-08 20:01:03,RETURNED,CENTRAL
125,352,2026-01-10 19:08:49,RETURNED,SOUTH
126,UNKNOWN,2025-04-09 21:34:49,DELIVERED,EAST
127,320,2025-03-01 19:48:42,DELIVERED,NORTH
128,369,2026-05-31 02:05:20,SHIPPED,EAST
129,342,2025-05-14 04:59:44,SHIPPED,EAST
130,284,2024-10-07 20:48:59,SHIPPED,WEST
131,347,2026-02-02 02:14:20,RETURNED,CENTRAL
132,292,2025-02-19 18:06:44,DELIVERED,NORTH
133,156,2025-02-08 20:27:33,SHIPPED,CENTRAL
134,311,2025-11-21 12:35:50,SHIPPED,WEST
135,227,2025-12-07 18:36:16,SHIPPED,WEST
136,407,2026-05-31 00:00:00,RETURNED,SOUTH
137,338,2024-09-04 20:42:12,SHIPPED,CENTRAL
138,172,2024-09-11 12:51:48,CANCELLED,SOUTH
139,345,2025-02-27 02:38:17,SHIPPED,SOUTH
140,76,2024-07-19 23:19:20,PLACED,WEST
141,UNKNOWN,2025-10-18 18:58:21,CANCELLED,NORTH
142,234,2025-05-18 21:44:25,CANCELLED,CENTRAL
143,100,2026-01-09 00:00:00,DELIVERED,WEST
144,205,2025-01-06 12:11:58,PLACED,NORTH
145,458,2026-02-04 06:59:32,CANCELLED,NORTH
