item_id,order_id,product_id,quantity,unit_price,discount_percent
1,239,518,10,207.89,19.88
2,666,430,4,2722.79,27.82
3,7,164,7,2074.49,15.55
4,345,105,2,2310.57,35.9
5,353,271,1,4391.9,53.62
6,388,81,9,1794.41,62.86
7,371,197,2,322.66,22.79
8,297,82,4,5205.58,38.01
9,465,374,3,2252.58,20.95
10,274,74,10,3828.12,53.41
11,251,168,8,2307.76,98.95
12,656,225,6,5064.97,77.6
13,235,33,-3,2436.93,6.62
14,581,323,4,3949.86,39.56
15,659,470,3,1626.04,24.66
16,2274,270,10,2599.18,58.35
17,2070,225,3,3081.68,9.09
18,49,113,3,3783.3,79.21
19,433,66,7,2320.63,99.61
20,542,258,9,5171.64,1.15
21,118,274,6,713.74,43.48
22,465,4,5,5832.73,76.2
23,520,109,5,5057.93,50.77
24,204,157,6,4586.94,53.94
25,544,1,10,1978.73,1.95
26,372,315,4,394.65,87.8
27,81,88,8,4905.34,97.8
28,546,129,3,3975.52,94.68
29,170,272,9,5240.98,42.31
30,217,206,5,2424.0,67.17
31,383,449,9,2736.34,24.79
32,66,347,1,3550.44,23.01
33,226,8,2,4261.65,5.89
34,70,33,6,471.6,23.8
35,686,498,4,3258.44,72.34
36,585,485,4,4718.49,80.75
37,195,97,2,3970.95,35.43
38,421,479,1,4056.52,98.42
39,101,63,7,4382.87,80.06
40,112,255,4,1181.74,44.86
41,433,188,5,2802.64,87.45
42,78,454,9,632.56,65.21
43,554,16,2,5561.88,84.87
44,171,417,8,2914.08,86.47
45,61,169,-4,62.82,39.04
46,466,293,7,4194.72,73.05
47,570,499,3,1179.89,21.77
48,1759,63,6,390.13,58.42
49,515,162,1,5766.63,8.01
50,191,71,10,454.37,86.18
51,414,123,10,1514.98,59.45
52,635,84,7,3961.37,56.52
53,324,268,-2,4034.87,31.42
54,272,406,3,4046.56,30.0
55,324,75,1,2776.8,99.85
56,103,76,9,1318.27,26.52
57,358,71,4,2248.69,15.77
58,557,310,-5,5903.93,80.71
59,542,9,9,1831.3,66.34
60,138,271,2,5343.79,74.24
61,160,279,5,3648.74,71.76
62,209,271,9,2956.76,90.53
63,53,95,7,4984.62,4.41
64,342,134,5,1011.41,44.18
65,438,10,2,497.7,88.31
66,153,37,6,3515.93,14.81
67,131,43,5,2219.68,93.31
68,41,367,4,4108.3,66.69
69,363,417,10,4509.39,92.58
70,243,167,3,5294.43,2.48
71,341,422,4,1637.49,78.74
72,111,392,-1,5158.63,22.24
73,472,359,5,4932.19,87.13
74,229,25,4,2420.87,27.86
75,72,286,6,3866.82,39.97
76,550,340,1,736.28,97.04
77,183,272,1,695.0,43.46
78,322,447,10,5906.2,11.56
79,591,195,5,314.1,43.61
