product_id,product_name,category,subcategory,cost_price
1,Science Textbook 197,Books,Academic,3537.63
2,Laptop Pro 678,Electronics,Accessories,1178.1
3,Casual Sneakers 82,Clothing,Footwear,4283.82
4,USB Cable 390,Electronics,Mobiles,1425.97
5,Comic Book 855,Books,Children,1855.92
6,Dinner Set 364,Home,Decor,1087.06
7,Running Shoes 719,Clothing,Women,4686.44
8,Travel Guide 74,Books,Children,3065.2
9,Smart Watch 547,Electronics,Mobiles,3659.18
10,Smart Watch 474,Electronics,Mobiles,1928.3
11,Comic Book 705,Books,Children,2806.9
12,Leather Belt 864,Clothing,Men,3853.15
13,Laptop Air 235,Electronics,Laptops,4117.92
14,Leather Belt 411,Clothing,Men,1375.32
15,Denim Jeans 936,Clothing,Women,4717.4
16,Leather Belt 218,Clothing,Men,3294.42
17,Study Table 906,Home,Furniture,4577.01
18,Pillow Set 147,Home,Kitchen,1361.16
19,summer dress 763,Clothing,Women,2828.77
20,Winter Jacket 765,Clothing,Footwear,2943.7
21,Cook Book 409,Books,Fiction,1841.88
22,DSLR Camera 522,Electronics,Cameras,2492.9
23,Laptop Air 882,Electronics,Laptops,592.76
24,Comic Book 164,Books,Children,3970.79
25,Table Lamp 611,Home,Decor,364.46
26,Wooden Chair 611,Home,Decor,4980.8
27,Self Help Guide 258,Books,Children,4856.84
28,Smartphone X1 697,Electronics,Mobiles,3617.57
29,Fairy Tales Collection 769,Books,Children,1370.78
30,Travel Guide 349,Books,Children,602.18
31,Table Lamp 162,Home,Decor,2295.93
32,Winter Jacket 996,Clothing,Footwear,2527.9
33,Tablet Mini 520,Electronics,Mobiles,4567.51
34,Comic Book 306,Books,Children,4216.26
35,Mystery Novel 624,Books,Children,1034.61
36,Dinner Set 781,Home,Decor,849.67
37,Self Help Guide 941,Books,Children,52.83
38,Leather Belt 501,Clothing,Men,146.41
39,DINNER SET 900,Home,Decor,4927.34
40,Kids T-Shirt 246,Clothing,Kids,336.73
41,   Science Textbook 970   ,Books,Academic,439.85
42,Storage Box 836,Home,Kitchen,392.6
